iindex,Timestep_0,Day_0,Month_0,Hour_0,Potential_Temperature_0,Mixing_Depth_0,Specific_Humidity_0,Terrain_Altitude_0,Solar_Radiation_0,Latitude_0,Longitude_0,AltP_meters_0,Temperature_C_0,DateTime_0,Timestep_-24,Day_-24,Month_-24,Hour_-24,Potential_Temperature_-24,Mixing_Depth_-24,Specific_Humidity_-24,Terrain_Altitude_-24,Solar_Radiation_-24,Latitude_-24,Longitude_-24,AltP_meters_-24,Temperature_C_-24,Cumulative_Dist_-24,bearings_from_origin_-24,DateTime_-24,DateTime,Year,CloseTime,Julian Open Time,Julian Closing Time,Latitude,Longitude,AltP_feet,AltP_meters,Methane (ppm),CH4 (ppbv),CO (ppbv),CO2_ppm,OCS (MS),DMS (MS),CS2 (MS),CFC-12 (C/D),CFC-11 (C/D),CFC-113 (D),CFC-114 (C/MS),H-1211 (C/D),H-1301 (C),HFC-152a (MS),HFC-134a (MS),HCFC-22 (MS),HCFC-142b,HCFC-141b (MS),CHCl3 (C/D),CH3CCl3 (C/MS),CCl4 (C/MS),CH2Cl2 (C/D/MS),C2HCl3 (D/MS),C2Cl4 (C/MS),CH3Cl (MS),CH3Br (C/MS),CH3I (C/D),CH2Br2 (D),CHBrCl2 (D),CHBr2Cl (D),CHBr3 (C/MS),EtCl (MS),"1,2-DCE (MS)",MeONO2 (C/D),EtONO2 (C/D),i-PrONO2 (D),n-PrONO2 (C),2-BuONO2 (D),3-PeONO2 (D),2-PeONO2 (D),3-Methyl-2-BuONO2 (D),Ethane (E),Ethene (E),Ethyne (E),Propane (E/B),Propene (E),i-Butane (E),n-Butane (E),i-Butene (E),1-Butene (E),trans-2-Butene (MS),cis-2-Butene (MS),i-Pentane (E),n-Pentane (E),1-Pentene,Isoprene (E_B),"1,3-Butadiene (B)",trans-2-Pentene,cis-2-Pentene,3-Methyl-1-butene,2-Methyl-1-Butene,2-Methyl-2-butene,"1,2-Propadiene",n-Hexane (E),n-Heptane (E),n-Octane (B),n-Nonane (B),n-Decane (B),"2,2-Dimethylbutane (B)","2,3-Dimethylbutane (MS)",2-Methylpentane (MS),3-Methylpentane (MS),2-Methylhexane (B),3-Methylhexane (B),2-Methylheptane (B),3-Methylheptane (B),"2,3-Dimethylpentane (B)","2,4-Dimethylpentane (B)","2,2,4-Trimethylpentane (B)","2,3,4-Trimethylpentane",Cyclopentane (B),Methylcyclopentane (B),Cyclohexane,Methylcylohexane (B),Benzene (E_MS),Toluene (B),Ethylbenzene (MS),m/p-Xylene (MS),o-Xylene (MS),Styrene (MS),i-Propylbenzene (MS),n-Propylbenzene (MS),3-Ethyltoluene (MS),4-Ethyltoluene (MS),2-Ethyltoluene (MS),"1,3,5-Trimethylbenzene (MS)","1,2,4-Trimethylbenzene (MS)","1,2,3-Trimethylbenzene (MS)",alpha-Pinene (MS),beta-Pinene (MS)
889,0,27,6,16,303.9,180.5,3.1,575,209.5,35.278,-119.423,1021.1,15.85,6/27/2012 16:00,-24,26,6,16,297.4,361.3,8.1,338.7,210.2,36.393,-119.755,0,21.95,140986.1944,-0.235169301,6/26/2012 16:00,6/27/2012 16:36,2012,16:36:49,41087.69168,41087.69223,35.27833333,-119.4233333,3350,1021.08,2.003,200.3,117,394,595,,,526,236,76.6,16.38,4.002,3.19,,76,250,24.38,26.77,19.84,6.01,86.9,76.1,0.51,3.76,545,10.74,0.35,0.715,0.267,0.138,0.848,,13.05,5.306,4.281,7.264,1.476,6.003,2.164,3.819,4.776,1008,41,122,413,4,71,81,,3,,,70,41,,,,,,,,,,11,5,,,,7,,8,13,6,15,,,,,12,,,11,,,21,15,,,,,,,,,,,4,3,,
890,0,27,6,16,302.5,183.4,3.6,552.4,208.8,35.32,-119.483,853.4,16.35,6/27/2012 16:00,-24,26,6,16,297.4,363.9,8.1,337.7,210.3,36.413,-119.767,0,21.95,139639.9002,-0.206086008,6/26/2012 16:00,6/27/2012 16:37,2012,16:37:47,41087.69236,41087.69291,35.32,-119.4833333,2800,853.44,1.903,190.3,109,397,581,,,530,239,76.1,16.73,4.004,3.29,,81.8,265,25.39,32.55,19.52,5.36,88.6,62.9,0.39,2.75,548,9.4,1.24,0.66,0.259,,0.417,,9.67,3.602,2.48,3.139,0.69,2.201,0.727,1.148,2.073,908,52,145,253,7,25,48,,,,,70,31,,,,,,,,,,11,8,6,6,,4,,7,14,8,6,,,,,7,,,11,,4,22,15,,,,,,,,,,,,,,
891,0,27,6,16,301.5,185.8,3.9,530.8,208.2,35.358,-119.542,731.5,16.85,6/27/2012 16:00,-24,26,6,16,297.3,368.9,8.1,328.5,210.2,36.447,-119.792,0,21.95,140232.2013,-0.182577722,6/26/2012 16:00,6/27/2012 16:38,2012,16:38:46,41087.69307,41087.69359,35.35833333,-119.5416667,2400,731.52,1.895,189.5,113,401,642,,,553,249,78.1,17.5,4.37,3.46,,76.9,245,24.04,26.42,20.78,6.9,91.9,84.6,0.89,3.56,583,11.46,1.372,1.302,0.285,0.115,0.87,,15.21,4.199,4.554,6.312,0.967,5.882,1.671,3.909,3.36,992,69,128,332,7,48,86,,20,,,90,44,,3,,,,,,,,15,8,10,10,4,13,3,13,10,54,26,,,14,14,13,,5,59,,3,26,34,7,23,8,,,,3,,,,9,5,,
892,0,27,6,16,301.4,186.7,3.9,500.8,207.7,35.412,-119.584,746.8,16.85,6/27/2012 16:00,-24,26,6,16,296.7,389,8.3,267,209.6,36.559,-119.882,0,22.05,147609.2156,-0.205686155,6/26/2012 16:00,6/27/2012 16:39,2012,16:39:55,41087.69387,41087.69439,35.41166667,-119.584017,2450,746.76,1.9,190,116,396,568,,,533,241,76.8,16.74,4.081,3.25,,80.4,259,24.46,31.55,20.54,5.39,89.4,63.4,0.47,2.92,534,9.14,1.188,0.712,0.259,,0.498,,10.47,4.035,2.651,3.465,0.705,2.602,0.725,1.216,2.112,1106,58,127,379,7,52,94,,3,,,95,45,,,,,,,,,,15,10,4,6,,6,4,11,18,9,14,,,4,3,10,,,16,,6,21,18,,,,,,,,,,,,,,
893,0,27,6,16,301,187.5,4.1,465.9,207.2,35.472,-119.64,725.4,16.95,6/27/2012 16:00,-24,26,6,16,295.6,420,8.6,138.3,208.3,36.741,-120.054,0,22.25,162546.6852,-0.255593291,6/26/2012 16:00,6/27/2012 16:40,2012,16:40:47,41087.6945,41087.69499,35.47166667,-119.64,2380,725.424,1.898,189.8,114,395,602,,,537,239,75.3,17.21,4.153,3.28,,86.3,277,26.94,28.59,20.72,6.49,88,84.3,0.6,3.46,563,10.19,1.336,0.936,0.291,0.118,0.992,,15.32,4.75,3.005,4.245,0.86,3.713,1.496,2.977,3.374,1107,57,130,369,9,52,92,,3,,,98,46,,,,,,,,,,13,8,,,,12,5,13,17,16,14,,,7,7,12,,6,24,,5,25,20,4,6,,,,,,,,,,3,,
894,0,27,6,16,300.6,187.5,4.1,442.2,206.8,35.512,-119.675,701,17.15,6/27/2012 16:00,-24,26,6,16,295.8,415.6,8.7,160,208.2,36.875,-120.209,0,22.25,175421.3262,-0.303490278,6/26/2012 16:00,6/27/2012 16:41,2012,16:41:46,41087.69517,41087.69567,35.51166667,-119.675,2300,701.04,1.892,189.2,104,394,658,,,537,239,76.5,16.66,4.041,3.21,,74,241,23.71,29.04,20.4,6.3,88.1,82.5,0.5,3.39,632,10.89,1.336,0.811,0.276,0.113,0.97,,15.36,4.563,3.11,4.021,0.803,3.198,1.235,2.284,3.009,892,49,123,254,6,31,51,,,,,78,30,,,,,,,,,,9,,,,,12,3,9,11,10,8,,,,4,9,,,9,,,19,18,5,10,5,,,8,10,12,13,23,30,61,5,6
895,0,27,6,16,301,188.4,4,414.4,206,35.553,-119.757,792.5,16.85,6/27/2012 16:00,-24,26,6,16,296.4,354.2,9.2,287.1,206,37.333,-120.735,0,21.55,231350.0404,-0.411130083,6/26/2012 16:00,6/27/2012 16:43,2012,16:43:47,41087.69653,41087.69707,35.55333333,-119.7566667,2600,792.48,1.888,188.8,113,396,566,,,525,239,74,16.53,4.007,3.27,,75.9,262,25.22,31.07,20.32,5.45,87.4,66.7,0.49,3.25,531,8.93,1.402,0.746,0.259,,0.724,,11.21,3.019,2.286,3.168,0.629,2.449,1.09,2.007,2.613,880,51,131,213,8,25,42,,3,,,71,28,,,,,,,,,,10,7,5,7,,10,4,8,16,15,9,,,5,4,8,,,9,,,21,17,3,4,,,,,,,,,,,,
896,0,27,6,16,301.7,190.9,3.9,447.2,206,35.495,-119.765,868.7,16.45,6/27/2012 16:00,-24,26,6,16,296.2,350.8,9.3,271.2,205.4,37.387,-120.789,0,21.45,245066.0563,-0.405363766,6/26/2012 16:00,6/27/2012 16:44,2012,16:44:48,41087.69723,41087.69778,35.495,-119.765,2850,868.68,1.902,190.2,103,394,607,,,533,239,75.1,17.08,4.122,3.31,,88,265,27.35,32.68,20.43,6.3,87.8,82.8,0.48,3.26,584,10.38,1.371,0.857,0.275,0.115,0.978,,16.65,5.121,2.878,3.738,0.735,2.908,1.145,2.198,2.716,1593,51,125,781,4,117,292,,,3,,135,91,,,,,,,,,,23,10,3,5,,11,5,19,21,14,24,,,6,5,16,,14,33,,11,27,19,4,7,,,,3,3,4,3,5,7,11,,
897,0,27,6,16,301.5,192.1,4,480.5,206.3,35.438,-119.738,792.5,16.65,6/27/2012 16:00,-24,26,6,16,296.2,394.1,8.9,210.8,207.6,37.04,-120.426,0,22.15,207062.4317,-0.329916659,6/26/2012 16:00,6/27/2012 16:45,2012,16:45:47,41087.69795,41087.69846,35.43833,-119.73833,2600,792.48,1.914,191.4,106,397,681,,,543,241,74.9,17.36,4.163,3.46,,77.3,243,23.48,28.97,18.31,5.62,88.8,79.3,0.34,3.9,634,11.03,1.149,0.7,0.249,,0.947,,14.87,3.552,2.613,5.303,0.89,9.794,2.538,5.56,4.377,2394,74,142,2227,13,465,1333,,4,,,318,252,,,,,,,,,,65,16,12,7,7,13,17,62,55,25,32,,,21,8,63,,45,118,,78,26,31,10,22,10,,,12,16,18,16,27,41,77,6,6
898,0,27,6,16,302.3,193,3.8,511.5,206.5,35.385,-119.713,883.9,16.35,6/27/2012 16:00,-24,26,6,16,296,406.3,8.9,174.2,207.8,36.975,-120.342,0,22.25,203977.542,-0.305851192,6/26/2012 16:00,6/27/2012 16:46,2012,16:46:48,41087.69862,41087.69917,35.385,-119.71333,2900,883.92,1.927,192.7,99,400,572,1,,540,245,75.1,17.3,4.213,3.33,,85.3,256,24.9,28.05,19.21,5.64,87.7,66,0.66,3.76,538,8.23,0.889,0.767,0.269,0.107,0.998,,11.23,3.157,2.82,5.794,1.038,8.286,2.79,5.675,4.81,3314,94,146,2310,14,328,929,,4,,,301,229,,,,,,,,,,65,23,7,8,5,12,13,50,53,20,24,,,15,7,61,,34,99,,56,27,31,8,16,7,,,6,8,7,7,11,20,21,,
899,0,27,6,16,302.9,189.8,3.6,547.3,207.6,35.325,-119.61,914.4,16.15,6/27/2012 16:00,-24,26,6,16,296.2,401.9,8.4,209.5,209,36.614,-119.937,0,22.05,163034.182,-0.200829224,6/26/2012 16:00,6/27/2012 16:47,2012,16:47:48,41087.69931,41087.69986,35.325,-119.61,3000,914.4,1.957,195.7,118,401,643,4,,539,236,76.1,17.15,4.116,3.36,,80.7,257,25.41,31.47,17.87,5.7,88.1,78.9,0.72,5.5,625,10.44,0.785,0.652,0.215,,0.974,,13.64,3.615,3.506,8.603,1.91,9.087,2.898,6.361,4.843,4611,136,161,2389,43,287,761,,10,3,,284,223,,,,,,,,,,70,28,12,9,8,15,15,53,53,90,27,,,58,6,81,,37,112,,83,36,33,10,22,10,,,13,18,18,20,32,47,102,9,8
900,0,27,6,16,302.8,189.8,3.6,562.9,207.7,35.297,-119.598,883.9,16.25,6/27/2012 16:00,-24,26,6,16,296.9,384,8.3,280.3,209.7,36.53,-119.864,0,21.95,155670.1054,-0.171619476,6/26/2012 16:00,6/27/2012 16:48,2012,16:48:47,41087.70001,41087.70054,35.29667,-119.59833,2900,883.92,1.937,193.7,107,402,610,2,,543,241,75.9,17.39,4.236,3.5,,79,254,24.57,27.27,20.02,6.08,89.1,81.3,0.62,3.92,577,10.12,0.841,0.741,0.453,0.172,1.134,,14.61,4.168,2.88,5.539,0.955,6.956,2.489,5.364,4.866,4491,100,150,2721,14,418,1050,,4,,,438,362,,,,,,,,,,113,37,16,10,7,16,18,95,78,29,43,,,15,8,71,,54,147,,86,40,47,9,21,8,,,6,11,8,7,10,26,23,,
901,0,27,6,16,303.1,186.7,3.5,582.6,208.4,35.262,-119.532,914.4,16.05,6/27/2012 16:00,-24,26,6,16,297.3,367,8.1,327.1,210.1,36.43,-119.786,0,21.95,146640.904,-0.173189017,6/26/2012 16:00,6/27/2012 16:49,2012,16:49:48,41087.70071,41087.70125,35.26167,-119.53167,3000,914.4,1.96,196,103,397,577,,,542,240,77,17.26,4.216,3.27,,80.6,257,24.92,30.26,18.41,5.43,87,57.2,0.4,3.4,545,9.55,0.685,0.627,0.24,0.105,0.625,,10.77,4.297,2.894,5.027,0.917,4.86,1.654,3.074,3.244,3555,88,143,2119,14,266,693,,4,,,262,215,,,,,,,,,,66,25,15,12,6,8,8,40,43,15,25,,,12,,40,,25,72,,41,28,30,5,12,4,,,,5,5,3,9,7,6,,
902,0,27,6,16,302.7,183.2,3.6,602.4,209.1,35.225,-119.465,823,16.35,6/27/2012 16:00,-24,26,6,16,297.5,351.9,8.1,337,210,36.312,-119.706,0,22.05,137657.7365,-0.176762956,6/26/2012 16:00,6/27/2012 16:50,2012,16:50:47,41087.70139,41087.70193,35.225,-119.465,2700,822.96,1.976,197.6,110,400,608,,,539,240,75,17.37,4.191,3.51,,75.8,244,24.27,24.13,18.84,5.63,87.9,79.1,0.52,3.68,568,10.04,0.747,0.716,0.272,0.11,1.148,,14.29,4.304,2.973,6.271,1.064,7.019,2.528,5.084,4.635,8720,231,169,4584,26,428,960,,4,,,352,274,,,,,,,,,,63,20,9,8,6,15,10,51,49,20,31,,,11,4,36,,31,70,,36,28,32,6,13,5,,,4,7,5,5,7,16,14,,
903,0,27,6,16,302.1,178.9,3.8,623.1,209.9,35.185,-119.395,701,16.75,6/27/2012 16:00,-24,26,6,16,297.4,343.8,8.1,318.6,209.6,36.226,-119.654,0,22.05,134994.9721,-0.198032315,6/26/2012 16:00,6/27/2012 16:51,2012,16:51:47,41087.70209,41087.70263,35.185,-119.395,2300,701.04,1.953,195.3,117,399,578,,,540,249,77.6,17.31,4.18,3.48,,80,255,24.4,25.87,18.43,5.72,86.7,54,0.38,3.06,538,9.31,0.712,0.612,0.237,,0.514,,10.31,3.177,2.465,4.709,0.854,5.189,1.383,2.548,3.055,4380,144,154,2724,18,352,832,,5,,,357,285,,,,,,,,,,82,32,12,6,4,11,13,53,53,17,28,,,11,6,40,,30,84,,51,29,36,3,7,3,,,,,,,,7,,,
904,0,27,6,16,302.4,168.9,3.6,645.6,211.4,35.138,-119.253,716.3,16.65,6/27/2012 16:00,-24,26,6,16,297.2,339.2,8.1,295.9,209.3,36.166,-119.617,0,22.15,134274.1783,-0.278306016,6/26/2012 16:00,6/27/2012 16:53,2012,16:53:48,41087.7035,41087.70403,35.13833,-119.25333,2350,716.28,1.954,195.4,103,398,596,,,542,233,75.7,17.01,3.993,3.53,,78.6,250,25.19,29.44,17.76,5.54,86.3,68.4,0.44,3.18,558,9.04,0.557,0.604,0.242,0.118,0.923,,11.11,3.428,2.509,4.795,0.803,4.961,2.055,3.708,3.531,2049,73,129,998,14,133,275,,5,,,147,95,,,,,,,,,,28,11,5,4,,14,7,22,26,18,10,,,9,4,17,,10,32,,16,22,21,4,5,,,,,,,4,7,8,11,,
905,0,27,6,16,304.9,174.3,2.9,680.7,210.7,35.07,-119.337,1051.6,15.45,6/27/2012 16:00,-24,26,6,16,297.1,340.2,8.2,284.7,208.9,36.167,-119.644,0,22.15,139115.9825,-0.222133345,6/26/2012 16:00,6/27/2012 16:56,2012,16:56:48,41087.70557,41087.70611,35.07,-119.33667,3450,1051.56,1.98,198,113,395,605,,,536,235,73.7,16.63,4.015,3.37,,77.3,238,23.65,25.64,19.13,5.54,87.5,75.2,0.86,3.75,552,10.7,0.476,0.728,0.287,0.116,0.907,,13.04,4.753,4.214,7.766,1.487,7.679,2.836,5.439,4.984,1849,62,130,970,20,170,307,,8,,,157,111,,,,,,,,,,31,10,6,6,,10,6,23,29,12,13,,,4,5,18,,12,36,,14,28,22,4,7,3,,,,3,3,,,6,7,,
906,0,27,6,16,303.8,183.5,3.3,654.6,209.3,35.125,-119.46,931.8,15.85,6/27/2012 16:00,-24,26,6,16,297.3,346.8,8.1,317.6,209.5,36.252,-119.684,0,22.05,139987.3947,-0.158912719,6/26/2012 16:00,6/27/2012 16:58,2012,16:58:50,41087.70694,41087.70752,35.125,-119.46,3057,931.7736,1.959,195.9,100,397,555,,,533,239,76,16.77,4.089,3.28,,79.8,253,24.26,30.24,18.55,5.78,86.5,60.5,0.63,3.57,519,9.12,0.696,0.621,0.271,,0.561,,19.31,3.6,2.725,6.805,1.215,9.564,2.806,5.237,4.957,4593,99,147,2874,16,437,1071,,5,,,451,363,,,,,,,,,,114,50,24,16,10,11,18,81,78,28,44,,,18,9,69,,46,141,,96,39,50,7,18,6,,,,,3,,,3,,,
907,0,27,6,16,303.9,187.6,3.3,635.8,208.6,35.162,-119.523,961.3,15.85,6/27/2012 16:00,-24,26,6,16,297.4,356.4,8.1,330.5,209.9,36.345,-119.738,0,22.05,145628.2239,-0.145340727,6/26/2012 16:00,6/27/2012 16:59,2012,16:59:48,41087.70764,41087.70819,35.16167,-119.52333,3154,961.3392,1.954,195.4,113,400,591,2,,539,238,75.1,17.06,4.237,3.24,,81.2,257,24.63,30.17,19.29,5.75,87.8,79.7,0.68,4.1,559,10.2,0.816,0.78,0.317,0.131,1.185,,13.08,4.116,3.261,7.109,1.232,9.609,3.843,7.883,5.908,4637,93,144,2854,18,412,1029,,6,,,411,343,,,,,,,,,,109,44,18,12,12,17,20,82,71,34,37,,,19,10,61,,43,122,,83,45,55,12,27,12,,,12,22,16,14,11,39,29,,
908,0,27,6,17,305.1,224.2,3,614.5,302.2,35.202,-119.587,1130.5,15.55,6/27/2012 17:00,-24,26,6,17,300.8,418.3,9.2,314,301.4,36.47,-119.815,0,25.55,161666.2481,-0.143590441,6/26/2012 17:00,6/27/2012 17:00,2012,17:00:50,41087.70833,41087.70891,35.20167,-119.58667,3709,1130.5032,2.016,201.6,109,405,595,,,540,238,76.6,17.26,4.09,3.39,,70.7,229,23.47,26.46,19.47,5.55,88.4,75.7,0.6,3.93,541,10.24,0.565,0.679,0.371,0.142,0.917,,12.25,4.219,3.567,7.14,1.289,7.057,2.855,5.329,5.156,2211,67,137,1013,15,176,294,,3,,,180,121,,,,,,,,,,36,13,6,4,4,17,12,28,37,12,19,,,12,5,29,,15,52,,56,25,24,5,8,4,,,,4,3,,3,9,12,,
909,0,27,6,17,307.2,228.1,2.3,597.1,301.4,35.233,-119.642,1473.4,14.45,6/27/2012 17:00,-24,26,6,17,308.5,357.2,1.6,226.3,289.1,34.816,-120.599,2459.1,9.55,110676.8498,-2.054985792,6/26/2012 17:00,6/27/2012 17:01,2012,17:01:53,41087.70904,41087.70964,35.23333,-119.64167,4834,1473.4032,1.898,189.8,101,397,561,,,537,239,78.4,16.96,3.933,3.47,,73.6,256,24.59,28.67,14.79,5.34,88.2,52.3,0.19,2.09,531,9.15,0.172,0.582,0.154,,0.178,,9.3,2.451,1.36,2.557,0.463,2.385,0.544,0.634,0.763,1171,29,91,389,9,55,116,,4,,,48,36,,,,,,,,,,9,5,,,,4,,5,4,,7,,,,,4,,3,9,,,15,5,,,,,,,,,,,,,,
910,0,27,6,17,307.4,232.2,2.2,575.2,300.5,35.272,-119.71,1525.2,14.25,6/27/2012 17:00,-24,26,6,17,308.3,354.5,1.6,240.7,289.6,34.887,-120.606,2431.8,9.55,105410.3005,-2.049789132,6/26/2012 17:00,6/27/2012 17:02,2012,17:02:52,41087.70975,41087.71032,35.27167,-119.71,5004,1525.2192,1.905,190.5,91,396,604,,,537,241,74.3,16.98,3.905,3.5,,86.7,261,24.3,27.7,17.2,5.4,87.4,67.7,0.27,3.07,568,10.2,0.219,0.675,0.222,,0.813,,13.65,3.232,2.837,5.223,0.922,6.499,2.48,4.304,3.292,1216,31,97,447,10,66,126,,4,,,55,39,,,,,,,,,,11,4,,,,8,,7,12,12,6,,,,,3,,5,12,,18,17,8,,,,,,,,,,,3,4,,
911,0,27,6,17,306.1,232,2.5,514.1,299.9,35.378,-119.752,1403.9,14.85,6/27/2012 17:00,-24,26,6,17,297.6,412.3,3.7,193.3,296.4,36.563,-120.325,1191,12.05,158029.06,-0.370091884,6/26/2012 17:00,6/27/2012 17:04,2012,17:04:31,41087.71111,41087.71147,35.37833,-119.75167,4606,1403.9088,2.062,206.2,113,399,604,,,542,241,76.3,17.22,4.063,3.57,,82.6,248,24.17,27.39,18.36,5.33,87.4,65.1,3.57,4.36,540,11.54,0.475,0.62,0.389,0.151,0.844,,10.23,2.468,3.753,7.962,1.515,7.211,3.071,5.714,5.641,1155,59,160,547,19,66,70,,6,,,78,41,,,,,,,,,,11,4,4,3,,10,3,9,15,8,7,,,6,,10,,,8,,,24,14,,,,,,,,,,3,,,,
912,0,27,6,17,304.5,222.4,3.1,565.2,302.3,35.293,-119.562,1093,15.85,6/27/2012 17:00,-24,26,6,17,300.8,419.9,9.2,318.4,301.6,36.486,-119.816,0,25.55,153310.508,-0.169510841,6/26/2012 17:00,6/27/2012 17:07,2012,17:07:49,41087.71319,41087.71376,35.29333,-119.56167,3586,1093.0128,2.012,201.2,112,399,574,,,536,245,78.4,16.71,3.976,3.27,,83.6,262,25.23,28.42,18.17,5.27,87.4,66.3,0.47,3.54,526,10.08,0.39,0.61,0.247,,0.384,,11.01,4.593,3.738,7.716,1.511,5.399,1.43,2.615,3.601,1346,46,147,632,8,133,146,,4,4,,115,81,,,,,,,,,,15,7,6,4,3,6,4,13,22,,13,,,,,12,,4,14,,5,21,15,,,,,,,,,,,,,,
913,0,27,6,17,307.4,204.4,2.3,668.7,305.2,35.095,-119.368,1391.1,14.65,6/27/2012 17:00,-24,26,6,17,310,390.3,1.5,549.9,295.3,34.955,-120.21,2358.1,8.75,115150.7503,-1.766893617,6/26/2012 17:00,6/27/2012 17:11,2012,17:11:49,41087.71597,41087.71654,35.095,-119.36833,4564,1391.1072,2.022,202.2,113,398,597,,,536,240,77,16.69,3.958,3.37,,83.6,248,24.34,30.19,19.37,5.37,88.2,72,0.53,3.86,545,10.32,0.367,0.712,0.278,0.14,0.959,,12.83,4.807,4.531,8.714,1.688,8.043,3.34,5.768,5.42,1100,40,131,478,14,59,65,,3,,,66,36,,,,,,,,,,9,4,,,,11,,6,16,10,6,,,,,7,,,8,,22,23,11,,,,,,,,,,4,,,,
914,0,27,6,17,307.4,215.4,2.4,684.8,303.7,35.068,-119.492,1390.5,14.55,6/27/2012 17:00,-24,26,6,17,308.8,363.8,1.6,243.1,289.1,34.695,-120.505,2471.7,9.55,115791.2642,-1.987632746,6/26/2012 17:00,6/27/2012 17:14,2012,17:14:50,41087.71806,41087.71863,35.06833,-119.49167,4562,1390.4976,1.973,197.3,111,399,631,3,,541,240,74.7,16.64,4.213,3.65,,77.3,243,23.03,27.82,20.36,5.71,88.7,78.9,15.23,4.36,558,14.09,0.593,0.72,0.91,0.412,1.028,,12.87,2.831,3.578,7.193,1.412,7.568,3.021,5.868,5.114,1883,116,188,957,43,137,276,,17,7,,146,105,,8,,,,,,,,35,14,13,16,3,25,7,23,27,29,20,,,9,10,16,,11,30,,12,52,38,6,13,5,,,,4,,,4,7,4,,
915,0,27,6,17,304.7,225.6,3.2,610,301.9,35.21,-119.605,1086.3,15.75,6/27/2012 17:00,-24,26,6,17,300.8,416.9,9.2,320.7,301.5,36.463,-119.806,0,25.55,159777.6378,-0.128296887,6/26/2012 17:00,6/27/2012 17:16,2012,17:17:17,41087.71979,41087.72034,35.21,-119.605,3564,1086.3072,1.987,198.7,108,414,607,,,538,243,77.5,16.89,4.084,3.48,,83.2,255,25.22,29.21,19.74,5.58,89,75,0.58,3.97,565,10.32,0.692,0.715,0.422,0.202,1.029,,13.27,4.817,3.42,6.742,1.229,7.223,3.041,5.53,5.048,2996,90,146,1213,16,193,341,,5,,,202,136,,,,,,,,,,45,15,9,6,5,22,14,33,42,18,20,,,15,7,37,,19,61,,61,28,28,7,10,5,,,,3,,,4,5,8,3,
916,0,27,6,17,304.5,227.5,3.2,583.4,301.4,35.258,-119.637,1080.8,15.85,6/27/2012 17:00,-24,26,6,17,300.2,436.2,9.3,256.2,300.7,36.576,-119.894,0,25.65,167652.4731,-0.155312558,6/26/2012 17:00,6/27/2012 17:17,2012,17:17:55,41087.72049,41087.72078,35.25833,-119.63667,3546,1080.8208,1.989,198.9,127,398,658,2,,535,249,79,16.57,4.182,3.71,,80.4,247,24.06,26.49,21.35,5.67,88,74.5,8.24,3.66,631,17.71,1.007,0.633,0.451,0.21,0.597,,12.78,4.221,3.483,9.824,1.554,8.179,2.349,4.457,6.745,2021,131,227,948,27,141,252,,44,10,10,144,105,,17,,,,,,,,37,20,28,26,4,19,3,19,31,16,29,,,5,5,19,,12,33,,17,76,52,5,9,3,,,,,,,,,6,,
917,0,27,6,17,308.6,222.3,1.8,551.9,302.2,35.318,-119.558,1702.6,13.85,6/27/2012 17:00,-24,26,6,17,308.2,355.5,1.7,161,287.6,34.75,-120.68,2486.6,9.65,132352.0092,-2.118897471,6/26/2012 17:00,6/27/2012 17:19,2012,17:19:54,41087.72153,41087.72215,35.31833,-119.55833,5586,1702.6128,1.827,182.7,106,434,606,,,539,239,72.7,17.03,3.876,3.58,,67.5,232,23.44,26.77,12.04,5.62,87.7,54.5,0.66,2.04,587,9.33,,0.589,0.147,,0.272,,11.25,1.4,1.546,1.934,0.389,2.058,0.613,1.031,0.439,793,8,61,113,10,10,17,,,,,4,5,,,,,,,,,,4,6,,,,8,,,7,5,3,,,,,,,,5,,,12,,4,11,6,,,10,12,14,25,56,50,64,10,10
918,0,27,6,17,312.5,220.4,1.1,587,302.7,35.253,-119.533,2322.9,11.15,6/27/2012 17:00,-24,26,6,17,313,518.8,0.9,0,272,33.709,-121.607,3357,7.15,264489.1653,-2.295015464,6/26/2012 17:00,6/27/2012 17:20,2012,17:20:43,41087.7223,41087.72272,35.25333,-119.53333,7621,2322.8808,1.829,182.9,90,397,587,,,534,239,75.7,16.82,3.854,3.39,,68,241,23.95,27.93,13.93,5.44,91.1,62.2,0.12,2.03,564,8.88,,0.549,0.159,,0.369,,11.57,1.456,1.308,1.666,0.283,1.767,0.771,1.164,0.497,779,9,57,108,7,10,21,,4,,,4,5,,,,,,,,,,,,,,,3,,,4,3,,,,,,,,,,,,9,,,,,,,,,,,,,4,,
919,0,27,6,17,316.5,213.6,0.5,834.1,320.4,35.232,-118.403,2749,8.15,6/27/2012 17:00,-24,26,6,17,314.6,576.2,0.6,0,271.5,32.818,-121.281,3535.7,6.85,388916.2816,-2.347980589,6/26/2012 17:00,6/27/2012 17:21,2012,17:21:39,41087.72292,41087.72337,35.23167,-118.40333,9019,2748.9912,1.831,183.1,91,403,642,,,533,239,75.7,16.77,4.119,3.46,,69.1,237,24.02,29.7,14.48,5.58,91.5,79.7,0.2,2.36,634,9.66,,0.637,0.149,,0.386,,15.8,2.001,1.244,1.484,0.309,1.076,0.405,0.666,0.297,715,6,76,68,4,4,5,,,,,,,,,,,,,,,,4,,,,,,,,8,7,,,,,,,,4,5,,,18,3,5,12,5,,,,,,,21,26,51,,
